ID;TEXTURE;TPBUS;FAMILY;TYPOLOGY;INDUSTRIAL;DESCRIPTOR;MARKETING_NAME;ACTIVES;SPF;FREE_FROM;PACKAGING;SEL;EVENT;COLLECTION;TXT_REPLACE;FORMULATOR;ST_STABILITY;ST_COMPATIBILITY;STAB_BEG_DATE;STAB_END_DATE;COMP_T_BEG_DATE;COMP_T_END_DATE;EFFICACY_TEST;PANEL_TEST;ROW_MAT_SHORTAGE;EXCLUSIVITY;ESCL_CUST;FILLING_TIP;EFF_ACTIVES;VEGAN;MARKETABLE_BULK;ADR;SEMAFORO_INDUSTRIALIZZAZIONE;NATURALITY;RANGE;ST_SAMPLING;ST_SAMPLING_STOCK;ST_SAFETY_TEST;ST_IMERYS_TALC;SEMAFOTO_TALCO_COST;PLANT;ESTIM_REAL_FORM_DATE;ESTIM_TECN_TRANS_DATE;TXT_ATL;SEMAFORO_TEC_TRANSFER;CONSUMER_CLUSTER;LOW_VALUE;MEDIUM_VALUE;HIGH_VALUE
2118;PR298;M;PRIMER;BODY APPLICATION | HOT POURED;ANHYDROUS (HOT POURED IN PACK);NATURAL;INCONTRO;Cranberry Oil, Shea Butter, Fermented dragon blood oil, lipophilic hyaluronic acid;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SLS | TALC;Stick stylo (GENIE IN A STICK VERSION) | Pot (INCONTRO VERSION);O;MakeUp in New York 2022 | MakeUp in New York 2023;Editorial Renaissance | Nude Prelude;;;G;G;24-OTT-22;30-NOV-23;24-OTT-22;30-NOV-23;;;;;;;Y;Y;;;O;;;;;G;;;Vitre;30-NOV-23;;N;O;Beauty&Ethics | Mainstream Conscious;41,29;0;0
823;EM160;M;CONCEALER;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LUMINOUS / RADIANT;EFFORTLESS CHIC;Sensiline/ Pomegranate extract/ Lecithin/ Vitamin E;15 Theor.;CYCLOPENTHASILOXANE | OIL | PARABENS;Air tight frosted or coloured brush pen or bottle;H;Chromaville 2012 | MakeUp in Paris 2019;Bobo Chic | Breakthrough Redness;;;G;G;12-MAR-12;12-GIU-12;06-MAR-12;06-LUG-12;N;;Y;;;;N;;;;G;;;G;G;G;G;;Italy;30-GIU-23;;N;G;;8,3;8,46;10,54
844;PW101;M;EYESHADOW;GODET;COMPACT POWDER;GLITTER-RING / DIAMOND / SPARKLING | LONG LASTING;Twinkle;;;;Classical compact;H;Chromaville 2012;Make-Mix;;;G;G;26-SET-11;26-DIC-11;26-SET-11;26-DIC-11;N;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;;;
861;EM068;M;HIGHLIGHTER | HIGHLIGHTER;OIL | SPRAY;EMULSION;FROST / PEARLY / SATIN | LUMINOUS / RADIANT | MULTIDIMENSIONAL (3D/color travel);Precious oil;Camellia oil / Vitamin E/ Sweet almond oil/ Boraggine oil / Walnut oil;;;Airtight packaging is required;H;;;;;G;G;;;;;N;;;;;;N;;;;G;;;O;R;O;;;Italy;;;N;G;;;;
865;LP045;M;LIPBALM;CARE | STICK;ANHYDROUS;CREAMY | LUMINOUS / RADIANT;Sun softness;Vitamin E/Gamma Orizanolo/Shea Butter;60 Tested;;Stylo ø 11;H;;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
870;EM148;M;FOUNDATION;FLUID/ LIQUID;EMULSION;LUMI-MAT | NATURAL | VELVETY;Unexpected cream;Matryxil 3000, Depoulline, Copherol F, Hydracire S:;;OIL | PARABENS | SILICONES;tube;H;Fall-Winter 2013-2014;;;;G;G;20-MAG-14;18-SET-18;21-AGO-14;18-SET-18;N;;;;;;N;;;;G;90,00%;;O;G;O;;;Italy;;;N;G;;;;
872;EM168;M;HIGHLIGHTER;HOT POURED;EMULSION;FROST / PEARLY / SATIN;Gummy lighter;Anti-oxidant active principles;;;Air tight pot;H;Fall-Winter 2013-2014;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;;;
753;EM062;M;BRONZER;HOT POURED;ANHYDROUS;FROST / PEARLY / SATIN | MAT;Good looking;Vitamin E/ Pear seed oil;;FRAGRANCE | PRESERVATIVES;Compact/ Compact with sponge;H;Cosmoprof 2011;Face;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;20,53;0;0
775;LP038;M;LIPSTICK;PH REAGENT | STICK;ANHYDROUS;LUMINOUS / RADIANT | TRANSPARENT;Stalactite;;;PRESERVATIVES;Classic stick ø 12,7;H;Cosmoprof 2011;Lips;;Erika Pellini;G;G;14-MAR-11;14-SET-11;14-MAR-11;14-SET-11;N;;Y;;;;N;;N;;G;;;O;G;O;;;Italy;;;N;G;;31,63;32,81;39,74
762;EM131;M;EYESHADOW;HOT POURED;ANHYDROUS;LONG LASTING | LUMINOUS / RADIANT | NO TRANSFER | VELVETY | WATERPROOF;Endless;;;;Air tight pot;H;Cosmoprof 2011;Eyes;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;28,59;33,49;41,99
